WTVeh_1,WTVeh_2,WTVeh_3,WTVeh_4,WTTx_1,WTTx_2,WTTx_3,WTTx_4,KOVeh_1,KOVeh_2,KOVeh_3,KOVeh_4,KOTx_1,KOTx_2,KOTx_3,KOTx_4,Peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Number Of Imputations,Protein IDs,Gene names,Protein names,Fasta headers
-1.160223007,-1.278139114,-1.124650955,-1.418237686,-0.998853683,-1.170465469,-1.244020462,-1.29268837,-1.80225563,-1.343025208,-1.638563156,-1.546112061,-1.546815872,-1.850135803,-1.478029251,-1.224578857,4,33.7,10.721,0.009901,0,A0A087WPN6;A0A087WP98;A0A087WQN2,Ptma,,tr|A0A087WPN6|A0A087WPN6_MOUSE Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=1;tr|A0A087WP98|A0A087WP98_MOUSE Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=1;tr|A0A087WQN2|A0A087WQN2_MOUSE Prothymosin alpha (Fragment) OS=Mus musculus GN=Ptma PE=1 S
2.388277054,2.403137207,2.283294678,2.295604706,2.281173706,2.389978409,2.236579895,2.280809402,2.278593063,2.276838303,2.236103058,2.302907944,2.210403442,2.145885468,2.253568649,2.269681931,18,42.3,52.482,0,0,A0A087WPP8;Q6AXH6;Q6AXD2;P62484;A0A087WR90;A0A087WNU9,Abi2,Abl interactor 2,tr|A0A087WPP8|A0A087WPP8_MOUSE Abl interactor 2 OS=Mus musculus GN=Abi2 PE=1 SV=1;tr|Q6AXH6|Q6AXH6_MOUSE Abi2 protein OS=Mus musculus GN=Abi2 PE=1 SV=1;tr|Q6AXD2|Q6AXD2_MOUSE Abi2 protein OS=Mus musculus GN=Abi2 PE=1 SV=1;sp|P62484|ABI2_MOUSE Abl interacto
3.671697617,3.590694427,3.528921127,3.435995102,3.735912323,3.833024979,3.733625412,3.586446762,3.670228958,3.579275131,3.668077469,3.566034317,3.722396851,3.745153427,3.68828392,3.74776268,18,33.8,69.387,0,0,A0A087WPR1;P20917;Q3ZB60;A0A087WRD6,Mag,Myelin-associated glycoprotein,tr|A0A087WPR1|A0A087WPR1_MOUSE Myelin-associated glycoprotein OS=Mus musculus GN=Mag PE=1 SV=1;sp|P20917|MAG_MOUSE Myelin-associated glycoprotein OS=Mus musculus GN=Mag PE=1 SV=2;tr|Q3ZB60|Q3ZB60_MOUSE Mag protein (Fragment) OS=Mus musculus GN=Mag PE=1 SV=
-0.796686172,-0.817657471,-0.829540253,-0.6953125,-0.89197731,-0.777730942,-0.806312561,-0.976165771,-0.715320587,-0.932640076,-0.847953796,-0.787950516,-0.691452026,-0.852819443,-0.826883316,-0.739006042,46,14.7,331.49,0,0,A0A087WPR7,Dst,,tr|A0A087WPR7|A0A087WPR7_MOUSE Dystonin (Fragment) OS=Mus musculus GN=Dst PE=1 SV=1
5.3534832,5.358095169,5.196815491,5.231275558,5.288492203,5.309576035,5.281557083,5.199882507,5.287359238,5.250665665,5.2417202,5.299953461,5.284614563,5.279157639,5.246797562,5.31883049,52,45.6,150.36,0,0,A0A087WPX3;A0A087WR56;A0A087WNW2,Nfasc,,tr|A0A087WPX3|A0A087WPX3_MOUSE Neurofascin OS=Mus musculus GN=Nfasc PE=1 SV=1;tr|A0A087WR56|A0A087WR56_MOUSE Neurofascin (Fragment) OS=Mus musculus GN=Nfasc PE=1 SV=1;tr|A0A087WNW2|A0A087WNW2_MOUSE Neurofascin OS=Mus musculus GN=Nfasc PE=1 SV=1
-1.845396042,-1.84847641,-1.896778107,-1.991233826,-1.731697083,-1.815019608,-1.744998932,-1.783185959,-1.850635529,-1.830245972,-1.843820572,-1.791275024,-1.71869278,-1.796957016,-1.614620209,-1.881511688,2,36.1,9.4574,0,0,A0A087WQ28,2410004B18Rik,,tr|A0A087WQ28|A0A087WQ28_MOUSE RIKEN cDNA 2410004B18 gene (Fragment) OS=Mus musculus GN=2410004B18Rik PE=1 SV=1
-6.321341515,-6.024838448,-6.272920609,-6.162082672,-5.984920502,-6.552417755,-6.427465439,-6.112622261,-6.318460464,-6.100647926,-5.634418488,-6.062033653,-6.306584358,-6.608826637,-5.948626518,-6.291712761,5,14.9,51.006,0,0,A0A087WQ61;A0A087WQU0;Q8C134;Q9ERD6-3;Q9ERD6-4;Q9ERD6;Q9ERD6-2;A0A087WQA4;A0A0A6YXI6;A0A087WPL3,Ralgps2,Ras-specific guanine nucleotide-releasing factor RalGPS2,tr|A0A087WQ61|A0A087WQ61_MOUSE Ras-specific guanine nucleotide-releasing factor RalGPS2 OS=Mus musculus GN=Ralgps2 PE=1 SV=1;tr|A0A087WQU0|A0A087WQU0_MOUSE Ras-specific guanine nucleotide-releasing factor RalGPS2 OS=Mus musculus GN=Ralgps2 PE=1 SV=1;tr|Q8C
1.221944809,1.129753113,1.126943588,1.172897339,1.182186127,1.17540741,1.15174675,1.098157883,1.211078644,1.119749069,1.191364288,1.214271545,1.175893784,1.176553726,1.167922974,1.176862717,34,16.6,248.57,0,0,A0A087WQ86;E9QM99;Q8BZN6-4;A0A087WRP5;Q8BZN6;Q8BZN6-2;Q8BZN6-3;A0A0R4J2B7;A0A087WQA1;A0A087WS26;Q8BLX9,Dock10,Dedicator of cytokinesis protein 10,tr|A0A087WQ86|A0A087WQ86_MOUSE Dedicator of cytokinesis protein 10 OS=Mus musculus GN=Dock10 PE=1 SV=1;tr|E9QM99|E9QM99_MOUSE Dedicator of cytokinesis protein 10 OS=Mus musculus GN=Dock10 PE=1 SV=1;sp|Q8BZN6-4|DOC10_MOUSE Isoform 4 of Dedicator of cytokine
-3.410942078,-4.046880722,-3.086933136,-3.30021286,-4.08489418,-3.544851303,-4.043497086,-4.088886261,-3.095607758,-4.107373238,-3.427825928,-3.179624557,-3.756778717,-4.069060326,-3.991422653,-3.858533859,2,4.2,65.049,0.009087,0,A0A087WQC4;H3BJR2;K3W4L1;H3BK01;Q8R2K4-2;Q8R2K4,Taf6l,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L,tr|A0A087WQC4|A0A087WQC4_MOUSE TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L OS=Mus musculus GN=Taf6l PE=1 SV=1;tr|H3BJR2|H3BJR2_MOUSE TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65
2.33057785,2.342287064,2.414258957,2.1447258,2.231184006,2.320095062,2.214637756,2.289531708,2.096096039,2.268497467,2.085529327,2.12638855,2.026531219,2.101415634,2.080123901,2.188865662,5,68.4,10.657,0,0,A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4,Tceb1,Transcription elongation factor B polypeptide 1,tr|A0A087WQE6|A0A087WQE6_MOUSE Elongin-C (Fragment) OS=Mus musculus GN=Eloc PE=1 SV=1;tr|A0A087WNT1|A0A087WNT1_MOUSE Elongin-C OS=Mus musculus GN=Eloc PE=1 SV=1;sp|P83940|ELOC_MOUSE Elongin-C OS=Mus musculus GN=Eloc PE=1 SV=1;tr|A0A087WPE4|A0A087WPE4_MOUSE
-0.894506454,-0.767536163,-0.892215729,-0.618577957,-0.863721848,-0.713188171,-0.957977295,-1.048555374,-0.787200928,-1.110881805,-0.804546356,-0.88085556,-0.765050888,-0.993173599,-0.991212845,-1.01848793,10,33,45.593,0,0,A0A087WQF0;Q8VCY8-2,Lppr2,Lipid phosphate phosphatase-related protein type 2,tr|A0A087WQF0|A0A087WQF0_MOUSE Phospholipid phosphatase-related protein type 2 OS=Mus musculus GN=Plppr2 PE=1 SV=1;sp|Q8VCY8-2|PLPR2_MOUSE Isoform 2 of Phospholipid phosphatase-related protein type 2 OS=Mus musculus GN=Plppr2
0.011013031,-0.022918701,0.096977234,-0.040664673,0.106771469,0.084791183,0.034378052,-0.132156372,-0.060667038,0.066720963,-0.030996323,-0.040193558,-0.256433487,-0.167703629,-0.169229507,-0.04337883,4,47.6,11.157,0,0,A0A087WQH8,Slc35a4,,tr|A0A087WQH8|A0A087WQH8_MOUSE Probable UDP-sugar transporter protein SLC35A4 OS=Mus musculus GN=Slc35a4 PE=1 SV=1
-2.318279266,-2.202819824,-2.34768486,-2.353485107,-2.356184006,-2.306072235,-2.573564529,-2.453538895,-2.437356949,-2.463588715,-2.490428925,-2.351791382,-2.593255997,-2.540031433,-2.646505356,-2.392185211,4,29.3,19.716,0,0,A0A087WQL2;Q9JME9;A0A0U1RNU3,Vstm2b,V-set and transmembrane domain-containing protein 2B,tr|A0A087WQL2|A0A087WQL2_MOUSE V-set and transmembrane domain-containing protein 2B (Fragment) OS=Mus musculus GN=Vstm2b PE=1 SV=1;sp|Q9JME9|VTM2B_MOUSE V-set and transmembrane domain-containing protein 2B OS=Mus musculus GN=Vstm2b PE=2 SV=1;tr|A0A0U1RNU3|
0.44483757,0.500267029,0.489917755,0.456764221,0.501647949,0.551258087,0.480249405,0.541311264,0.47310257,0.49946785,0.413158417,0.494663239,0.497671127,0.49965477,0.536466599,0.561372757,21,16.3,194.3,0,0,A0A087WQN7;F8VQ87;P97789-3;P97789-2;P97789;A0A087WNV6,Xrn1,5-3 exoribonuclease 1,tr|A0A087WQN7|A0A087WQN7_MOUSE 5-3 exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1;tr|F8VQ87|F8VQ87_MOUSE 5-3 exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1;sp|P97789-3|XRN1_MOUSE Isoform 3 of 5-3 exoribonuclease 1 OS=Mus musculus GN=Xrn1;sp
4.190639496,4.225709915,4.220188141,4.285173416,4.215351105,4.217594147,4.213993073,4.170255661,4.280050278,4.188476563,4.280469894,4.26473999,4.238471985,4.213624954,4.231367111,4.179679871,70,58.2,146.43,0,0,A0A087WQQ5;A0A087WQI3;A0A087WNW3;A0A087WS29;Q61595-5;Q61595-6;Q61595-9;A0A087WQF8;A0A087WS04;A0A087WQG4;A0A087WS23;Q61595-3;Q61595-16;Q61595-14;Q61595-2;Q61595-13;A0A087WPY8;A0A087WR91,Ktn1,Kinectin,tr|A0A087WQQ5|A0A087WQQ5_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WQI3|A0A087WQI3_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WNW3|A0A087WNW3_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WS29|A0A087WS29_MOUSE Kin
1.556928635,1.560100555,1.497348785,1.534099579,1.544080734,1.575569153,1.49221611,1.422054291,1.486314774,1.518932343,1.485992432,1.512378693,1.563337326,1.509757996,1.537466049,1.585121155,34,23.8,198.98,0,0,A0A087WQS0;A0A087WQM0;A0A1D5RM59;E9Q0S6;A0A087WRU0;A0A087WQ94;Q9DBT6;A0A087WPC7;A0A087WP40;A0A087WR29;A0A087WS32;A0A087WRZ8,Tns1,,tr|A0A087WQS0|A0A087WQS0_MOUSE Tensin 1 OS=Mus musculus GN=Tns1 PE=1 SV=1;tr|A0A087WQM0|A0A087WQM0_MOUSE Tensin 1 OS=Mus musculus GN=Tns1 PE=1 SV=1;tr|A0A1D5RM59|A0A1D5RM59_MOUSE Tensin 1 OS=Mus musculus GN=Tns1 PE=1 SV=1;tr|E9Q0S6|E9Q0S6_MOUSE Tensin 1 OS
3.014886856,3.067966461,2.919662476,3.01918602,2.913433075,3.131694794,2.878009796,2.868638992,2.996898651,2.875644684,2.992395401,2.962108612,2.937416077,2.824172974,2.90369606,2.962472916,16,34.1,51.209,0,0,A0A087WQS2;Q9CQC6;A0A087WPF9;A0A087WS48,Bzw1,Basic leucine zipper and W2 domain-containing protein 1,tr|A0A087WQS2|A0A087WQS2_MOUSE Basic leucine zipper and W2 domain-containing protein 1 OS=Mus musculus GN=Bzw1 PE=1 SV=1;sp|Q9CQC6|BZW1_MOUSE Basic leucine zipper and W2 domain-containing protein 1 OS=Mus musculus GN=Bzw1 PE=1 SV=1;tr|A0A087WPF9|A0A087WPF9
2.095180511,2.267795563,1.998060226,2.106384277,1.652950287,1.519496918,1.541231155,1.488193512,2.358282089,2.000326157,2.18598175,1.970899582,1.63728714,1.403125763,1.612714767,1.496753693,1,6.5,11.1,0.0051165,0,A0A087WQS5;Q9CR84;P56384;P56383,Atp5g2;Atp5g1;Atp5g3,"ATP synthase F(0) complex subunit C1, mitochondrial;ATP synthase F(0) complex subunit C3, mitochondrial;ATP synthase F(0) complex subunit C2, mitochondrial","tr|A0A087WQS5|A0A087WQS5_MOUSE ATP synthase F(0) complex subunit C2, mitochondrial (Fragment) OS=Mus musculus GN=Atp5g2 PE=3 SV=1;sp|Q9CR84|AT5G1_MOUSE ATP synthase F(0) complex subunit C1, mitochondrial OS=Mus musculus GN=Atp5g1 PE=2 SV=1;sp|P56384|AT5G3_"
-1.895294189,-1.911834717,-1.789354324,-2.125347137,-2.079275131,-1.787984848,-2.54693222,-2.539274216,-2.249853134,-2.012506485,-2.231489182,-1.966411591,-2.888975143,-2.297546387,-2.76084137,-1.857616425,1,20.9,9.0532,0,0,A0A087WQY7;A2AMZ4,1810043H04Rik,Uncharacterized protein C17orf89 homolog,tr|A0A087WQY7|A0A087WQY7_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus GN=Ndufaf8 PE=1 SV=1;sp|A2AMZ4|NDUF8_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus GN=Ndufaf8 P
-5.442398071,-5.290717125,-5.542835236,-5.589112282,-5.219982147,-5.460744858,-5.20957756,-5.463672638,-5.159989357,-5.198285103,-5.620661736,-5.288193703,-5.480629921,-5.812782288,-5.661335945,-5.201886177,2,7.2,38.545,0,0,A0A087WR70;A0A087WQS1;Q9ERE3,Sgk3,Serine/threonine-protein kinase Sgk3,"tr|A0A087WR70|A0A087WR70_MOUSE MCG131353, isoform CRA_b OS=Mus musculus GN=Sgk3 PE=1 SV=1;tr|A0A087WQS1|A0A087WQS1_MOUSE Serine/threonine-protein kinase Sgk3 OS=Mus musculus GN=Sgk3 PE=1 SV=1;sp|Q9ERE3|SGK3_MOUSE Serine/threonine-protein kinase Sgk3 OS=Mus"
-0.54520607,-0.541440964,-0.498821259,-0.759902954,-0.528497696,-0.596338272,-0.606859207,-0.572107315,-0.63867569,-0.539043427,-0.565738678,-0.453409195,-0.651445389,-0.597490311,-0.584754944,-0.604822159,6,16,49.039,0,0,A0A087WRE7;Q8R0N6-2;Q8R0N6,Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial","tr|A0A087WRE7|A0A087WRE7_MOUSE Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment) OS=Mus musculus GN=Adhfe1 PE=1 SV=1;sp|Q8R0N6-2|HOT_MOUSE Isoform 2 of Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Mus musculus GN=Adhfe1;sp|Q8R0N6|HOT"
0.673053741,0.639728546,0.625200272,0.630748749,0.570859909,0.555612564,0.526819229,0.520391464,0.624767303,0.58257103,0.704210281,0.611087799,0.557929993,0.614923477,0.533220291,0.627950668,19,29,89.02,0,0,A0A087WRF2;Q8BXK8;E9Q3K3;A0A1D5RLD2,Agap1,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1","tr|A0A087WRF2|A0A087WRF2_MOUSE Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Mus musculus GN=Agap1 PE=1 SV=1;sp|Q8BXK8|AGAP1_MOUSE Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Mus musculus GN=Agap1 PE=1 SV=1"
-3.421945572,-3.179239273,-3.108509064,-4.035761833,-3.35694313,-3.169851303,-3.770157814,-3.735609055,-4.257375717,-3.397386551,-4.69704628,-4.036255836,-4.547829628,-4.629950523,-4.005015373,-3.322595596,7,17.2,48.026,1,0,A0A087WRG2;A0A087WR93,U2surp,,tr|A0A087WRG2|A0A087WRG2_MOUSE U2 snRNP-associated SURP motif-containing protein OS=Mus musculus GN=U2surp PE=1 SV=1
0.083501816,-0.155992508,0.46843338,0.187105179,-0.101852417,-0.096334457,-0.25463295,-0.176551819,0.251478195,-0.134901047,0.10669899,0.270318985,-0.233892441,-0.162595749,-0.20280838,-0.096780777,6,45,15.896,0,0,A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;A0A087WP24;Q8VCR7;A0A1L1SRH5;A0A1L1SUX1,Abhd14b,Alpha/beta hydrolase domain-containing protein 14B,tr|A0A087WRJ2|A0A087WRJ2_MOUSE Protein ABHD14B (Fragment) OS=Mus musculus GN=Abhd14b PE=1 SV=1;tr|A0A087WPF8|A0A087WPF8_MOUSE Protein ABHD14B (Fragment) OS=Mus musculus GN=Abhd14b PE=1 SV=1;tr|A0A087WSR2|A0A087WSR2_MOUSE Protein ABHD14B (Fragment) OS=Mus m
-3.336662292,-3.167709351,-3.0987854,-2.915836334,-3.034841537,-3.402780533,-2.790960312,-2.95315361,-3.13706398,-3.135602951,-3.323745728,-3.076341629,-2.406452179,-2.987442017,-2.256818771,-3.068656921,4,13.8,39.576,0,0,A0A087WRL4,Pdzd2,,tr|A0A087WRL4|A0A087WRL4_MOUSE PDZ domain-containing 2 (Fragment) OS=Mus musculus GN=Pdzd2 PE=1 SV=6
-4.247472763,-4.382512093,-4.06268692,-4.023386955,-4.152863503,-4.139805794,-4.39877224,-4.25179863,-4.031012535,-4.08394146,-4.339619637,-4.010478973,-3.939546585,-4.19660759,-4.278449059,-4.121788025,1,17.1,12.032,0,0,A0A087WRP7;A0A087WNZ5;P0CW03;P0CW02,Ly6c1;Ly6c2,Lymphocyte antigen 6C2;Lymphocyte antigen 6C1,tr|A0A087WRP7|A0A087WRP7_MOUSE Lymphocyte antigen 6C1 (Fragment) OS=Mus musculus GN=Ly6c1 PE=1 SV=1;tr|A0A087WNZ5|A0A087WNZ5_MOUSE Lymphocyte antigen 6C1 OS=Mus musculus GN=Ly6c1 PE=1 SV=1;sp|P0CW03|LY6C2_MOUSE Lymphocyte antigen 6C2 OS=Mus musculus GN=Ly6
-0.209939957,-0.069932938,-0.480154037,-0.173662186,-0.281509399,-0.134145737,-0.351762772,-0.1144104,-0.022834778,-0.340133667,-0.304330826,-0.360347748,0.024204254,-0.222267151,-0.266059875,-0.245809555,4,41.3,8.4092,0,0,A0A087WRQ4;P63166,Sumo1,Small ubiquitin-related modifier 1,tr|A0A087WRQ4|A0A087WRQ4_MOUSE Small ubiquitin-related modifier 1 OS=Mus musculus GN=Sumo1 PE=1 SV=1;sp|P63166|SUMO1_MOUSE Small ubiquitin-related modifier 1 OS=Mus musculus GN=Sumo1 PE=1 SV=1
-2.109169006,-2.205451965,-2.311233521,-2.229885101,-2.163312912,-2.171125412,-2.140541077,-1.973098755,-2.170259476,-2.140525818,-2.109563828,-2.143671036,-1.848480225,-1.96544838,-1.717819214,-2.109886169,9,69.5,17.241,0,0,A0A087WS49;F8WGL9,Cdv3,,tr|A0A087WS49|A0A087WS49_MOUSE Protein CDV3 OS=Mus musculus GN=Cdv3 PE=1 SV=1;tr|F8WGL9|F8WGL9_MOUSE Protein CDV3 OS=Mus musculus GN=Cdv3 PE=1 SV=1
3.188119888,3.132875443,3.131397247,3.315860748,3.20108223,3.177967072,3.211391449,3.228116989,3.166685104,3.107740402,3.225296021,3.24779892,3.229219437,3.157665253,3.200967789,3.241725922,52,24.2,257.2,0,0,A0A087WS83;Q61290;E9QK20;A0A1D5RLU3,Cacna1e,Voltage-dependent R-type calcium channel subunit alpha-1E,tr|A0A087WS83|A0A087WS83_MOUSE Voltage-dependent R-type calcium channel subunit alpha OS=Mus musculus GN=Cacna1e PE=1 SV=1;sp|Q61290|CAC1E_MOUSE Voltage-dependent R-type calcium channel subunit alpha-1E OS=Mus musculus GN=Cacna1e PE=1 SV=1;tr|E9QK20|E9QK20
1.754179001,1.73358345,1.635688782,1.616336823,1.729757309,1.736412048,1.633705139,1.770048141,1.637887955,1.673997879,1.595998764,1.667310715,1.59485054,1.579236984,1.667354584,1.883277893,4,5.4,95.767,0,0,A0A087WS88;Q8K3V7-2;Q8K3V7,AF529169;Kiaa1024,UPF0258 protein KIAA1024,tr|A0A087WS88|A0A087WS88_MOUSE cDNA sequence AF529169 OS=Mus musculus GN=AF529169 PE=1 SV=1;sp|Q8K3V7-2|K1024_MOUSE Isoform 2 of UPF0258 protein KIAA1024 OS=Mus musculus GN=Kiaa1024;sp|Q8K3V7|K1024_MOUSE UPF0258 protein KIAA1024 OS=Mus musculus GN=Kiaa1024
